Performer,years_on_charts,url,WeekID,Week Position,Song,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,month,day,year,artist,gender
Chicago,22,http://www.billboard.com/charts/hot-100/1982-09-25,9/25/1982,74,Love Me Tomorrow,Love Me TomorrowChicago,1,,74,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",20cxkM7p4UVyvolZGSPJ9b,https://p.scdn.co/mp3-preview/e44e3113d3276579c162b76f858ff46aa3d8a297?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago 16 (Expanded Edition),0.0,309533.0,37.0,0.519,0.531,3.0,-6.923,0.0,0.0339,0.105,0.000288,0.312,0.489,173.576,4.0,9,25,1982,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1973-06-23,6/23/1973,75,Feelin' Stronger Every Day,Feelin' Stronger Every DayChicago,1,,75,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",3hfqqSWS52Vucr4S0mLqUN,https://p.scdn.co/mp3-preview/f80440c8018a5dfc327f20d0734330511cc12203?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago VI (Expanded & Remastered),0.0,254933.0,45.0,0.375,0.878,0.0,-6.099,1.0,0.0649,0.00946,0.0091,0.279,0.667,159.833,4.0,6,23,1973,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1982-06-05,6/5/1982,75,Hard To Say I'm Sorry,Hard To Say I'm SorryChicago,1,,75,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",07TnWCHrFkvF61GzJuLVt0,https://p.scdn.co/mp3-preview/ed072f2bc6fe0e0be670b1ee65a2705e5b726df5?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago 16 (Expanded & Remastered),0.0,304134.0,70.0,0.398,0.57,4.0,-7.068,1.0,0.034,0.056,0.00125,0.0606,0.234,140.974,4.0,6,5,1982,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1978-12-23,12/23/1978,77,No Tell Lover,No Tell LoverChicago,1,,77,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0GoT8Ro3hwpyFZfPmg0Wk7,https://p.scdn.co/mp3-preview/aee161c4180df6518274deb6e84c3a79b2a13b04?cid=b8d3901151d34489a160e3cf0ab1fa94,Hot Streets (Expanded & Remastered),0.0,228391.0,39.0,0.453,0.75,5.0,-6.658,0.0,0.186,0.325,0.000126,0.117,0.764,171.925,4.0,12,23,1978,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1988-09-24,9/24/1988,77,Look Away,Look AwayChicago,1,,77,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",2dEVFDQ9Z9Gyl73yhoKl65,https://p.scdn.co/mp3-preview/c4f84e6dd0cc62b62418cd3817bef0b543682948?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago 19 (Expanded Edition),0.0,242960.0,51.0,0.553,0.545,9.0,-7.278,1.0,0.0261,0.385,5.36e-06,0.105,0.201,85.959,4.0,9,24,1988,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1974-08-17,8/17/1974,6,Call On Me,Call On MeChicago,1,6.0,6,9,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",5BCPL5mWm6UqI4atl18kVm,https://p.scdn.co/mp3-preview/c38e3c6a9f7e7f5edf8b83bfce4b7f1261f00e3f?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago VII (Expanded & Remastered),0.0,242653.0,40.0,0.596,0.796,11.0,-8.339,0.0,0.0644,0.156,0.000542,0.0881,0.886,130.316,4.0,8,17,1974,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1971-05-08,5/8/1971,83,Lowdown,LowdownChicago,1,,83,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",7A1OuimVmNTPpOkKfBnDwd,https://p.scdn.co/mp3-preview/dd45d3fc853775bb5d23af52640e7cdea760920c?cid=b8d3901151d34489a160e3cf0ab1fa94,The Very Best of Chicago: Only the Beginning,0.0,215093.0,22.0,0.363,0.777,9.0,-6.41,1.0,0.0895,0.0811,0.041,0.24,0.593,185.215,4.0,5,8,1971,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1979-09-01,9/1/1979,83,Must Have Been Crazy,Must Have Been CrazyChicago,1,,83,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",2sVoh3FipbOHLRoikvBSdh,https://p.scdn.co/mp3-preview/0bac95ef3b109d0616c278e373d33e0aadfc083c?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago 13 (Expanded & Remastered),0.0,205600.0,12.0,0.592,0.872,5.0,-4.717,1.0,0.0324,0.153,0.0438,0.403,0.883,106.038,4.0,9,1,1979,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1979-04-14,4/14/1979,84,Gone Long Gone,Gone Long GoneChicago,1,,84,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0h2HPjykz5ePBbWfLLt1vN,https://p.scdn.co/mp3-preview/94b161c903d18f49a8183f6c6b518dd7d749e174?cid=b8d3901151d34489a160e3cf0ab1fa94,Hot Streets (Expanded & Remastered),0.0,239676.0,13.0,0.761,0.894,7.0,-6.863,1.0,0.0353,0.00274,0.59,0.124,0.878,121.139,4.0,4,14,1979,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1987-03-21,3/21/1987,84,If She Would Have Been Faithful. . .,If She Would Have Been Faithful. . .Chicago,1,,84,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",7g80Om8E1fZXDhAKtRRLKr,https://p.scdn.co/mp3-preview/24128ae3202e5cf2257f3ed9b2a3d0a3e48f2b6f?cid=b8d3901151d34489a160e3cf0ab1fa94,The Very Best of Chicago: Only the Beginning,0.0,231760.0,37.0,0.547,0.593,8.0,-6.749,1.0,0.0269,0.0787,0.0,0.109,0.282,142.219,4.0,3,21,1987,Chicago,male group
